author,XX_n,AW_n
[deleted],10386,649
newprofilewhodis1352,15,4
catniagara,13,3
tempted_temptress,9,6
Easteuroblondie,12,2
Minute-Jello-1919,1,9
CurrentSingleStatus,5,4
Delta4o,6,3
Marblue,8,1
annieduty,2,7
braveguppy,5,3
copper_rainbows,7,1
krazyforlove,7,1
BakerLovePie,6,1
Larry-Man,6,1
LongNectarine3,6,1
Petallic,4,3
super_soprano13,6,1
EQOA_Fanatic,1,5
MandrakeThePancake,5,1
RandomPerson004,3,3
abbaabbaaa,3,3
djinnisequoia,3,3
femmetastic,5,1
pencilwithnoeraser,5,1
pink_grapeFruity,3,3
zeurosis,3,3
0Lauren0,4,1
Alexandria_Scott,3,2
Biwildered_Coyote,4,1
Dark-Oak93,2,3
NezuminoraQ,1,4
ObsidianEther,4,1
Omylanta21,2,3
SammiesHammies,3,2
Thesladenator97,3,2
Tinawebmom,4,1
courtneat,3,2
maali74,2,3
Competitive_Classic9,3,1
Healing_touch,3,1
Lovedone1,1,3
Main-Yogurtcloset-82,1,3
Saltycook,3,1
SerendipityLurking,3,1
SetandPowder,3,1
Shadowgirl7,2,2
Timely-Vehicle,2,2
Trix_Rabbit,1,3
Ugandabekiddingme2,3,1
YoshiPendragon,1,3
boudicca_morgana,3,1
candleflame3,1,3
droseri,3,1
frauleinbrown,1,3
garysanthropology,2,2
happieveggie,3,1
hdmx539,2,2
kminola,3,1
linzava,2,2
madseason238,3,1
mcraneschair,3,1
ndnd_of_omicron,1,3
pennylane_9,3,1
polksallitkat,1,3
realcesspoolofshit,3,1
throwawayeas989,3,1
whatsername1341,2,2
writenicely,3,1
Accomplished-Art-301,2,1
AdAstra9191,1,2
AlwaysABD,1,2
BeautifulHippogriff,1,2
BlackMesaEastt,1,2
Blahblahblah688,2,1
BluMadchen,2,1
BoycottMathClass,2,1
Calathe,2,1
Call-me-Maru,1,2
Cats_have_teats,2,1
DeCryingShame,1,2
Deevys,1,2
DopeDetective,2,1
Geezenstack444,2,1
Gingrpenguin,1,2
Glock0Clock,1,2
I_Am_Sweet_Potato,2,1
Kiwi-Fox3,2,1
LittleSadEyes,2,1
Magpiebrain,1,2
MistressLezRoleplay,2,1
MniTain38,2,1
MustangLover22,1,2
OneAlternate,2,1
Orangerrific,1,2
Oudeis16,2,1
Sarahsota,1,2
ScourgeZero,1,2
What-The-Helvetica,1,2
YenYenMania,2,1
aliceroyal,1,2
allworkandnoYahtzee,2,1
alwayssunnyinupstate,2,1
babegirlvj,1,2
bexyrex,2,1
chaparrita_brava,1,2
danyixa,2,1
davidmitchellseyes,2,1
folieadeuxxmachinae,1,2
freedom_oh,2,1
joeimay,1,2
kaylalalas,1,2
lovelyclo465,2,1
lydocia,1,2
mparkdancer,1,2
nevadagrl435,2,1
novapurple,1,2
papadanku42,2,1
righteousnessandtea,2,1
s0ulbrother,1,2
sbwv09,1,2
starfyredragon,1,2
twilipig,2,1
villainouskim,2,1
632nofuture,1,1
6corsican6lily6,1,1
AMouseCalledFrog,1,1
Adorable-Space4498,1,1
Aldirick1022,1,1
AltDogBarkBarkBark,1,1
Any_Childhood_2475,1,1
Aviana9,1,1
B00gymanProdigy,1,1
BiBiBicycle,1,1
Boring-River9824,1,1
Brooke_Brooke,1,1
CaptainBunnie,1,1
CaptainMarv3l,1,1
Claire3577,1,1
Commercial-Cash253,1,1
Cthulu_594,1,1
Cuddlesthewulf,1,1
Damsell,1,1
DazedandConfused8406,1,1
Disprezzi,1,1
Dolphin_Yogurt42,1,1
DrFolAmour007,1,1
Electrode99,1,1
EveryDisaster,1,1
ForeverInBlackJeans,1,1
FridaMercury,1,1
GarrZillarr,1,1
Gem_Knight,1,1
GinnyMcJuicy,1,1
Gloomy_Goose,1,1
GothiestGoth,1,1
HastoEatSteak,1,1
Hellooooooo_NURSE,1,1
Homesandholes,1,1
HomestuckPlease,1,1
Ifigomissing,1,1
Illustrious_Rise_204,1,1
Intuitive16,1,1
Johannes_Chimp,1,1
Jujubini,1,1
Katviar,1,1
KeyDirection5322,1,1
Latvia,1,1
Legreatworrier,1,1
Levviathan7,1,1
LindseyIsBored,1,1
LydiaJuice,1,1
Meneketre,1,1
Meraki_Kenzie,1,1
Mindless_Command7079,1,1
Mirandal95,1,1
Mojo884ever,1,1
MrRobotsBitch,1,1
MrsFef,1,1
Nightchill90,1,1
Nimrochan,1,1
OTFJunkie92,1,1
OddRecommendation807,1,1
OfflineMilk,1,1
PRGrl718,1,1
Rockandmetal99,1,1
Saarnath,1,1
Seminaryruinslives,1,1
ShadowDancerOfficial,1,1
Silent-Sea2904,1,1
Sinnamon_Toast,1,1
SlugsLoveBeer,1,1
Snoo_78815,1,1
SomeSlav,1,1
StormNWeather,1,1
SunnydaleHigh1999,1,1
SunshineChristy,1,1
ThanosCommunistWife,1,1
The_MicheaB,1,1
Throwmeawaypoop2,1,1
TidalLion,1,1
TripleXChromosome,1,1
WhaleCrimesUnit,1,1
WindowAffectionate78,1,1
Witchywomun,1,1
WorkSucksBurner1234,1,1
Xervicx,1,1
Zaerryth,1,1
_Dr_Bette_,1,1
aliteralbagof_dicks,1,1
amandamontana,1,1
amberalpine,1,1
angstyart,1,1
ans97,1,1
aprilflowers96,1,1
asgmuse,1,1
audyaudvi,1,1
bee_antlers,1,1
bella_48,1,1
bisexualien,1,1
bluebrindleivy,1,1
capresesalad1985,1,1
cheapsavouries,1,1
chickadee711,1,1
coinmurderer,1,1
damndudechill,1,1
deedledoodlebutts,1,1
dillwickie,1,1
eatsmyfridge,1,1
edwadokun,1,1
eliechallita,1,1
flumpit,1,1
g-a-r-n-e-t,1,1
gefiltebitch12,1,1
girlwhosaysfrick,1,1
heavengirl777,1,1
humanbeing2016,1,1
iamjustboredidk,1,1
iheartnjdevils,1,1
incognita_bc,1,1
irlgarbodor,1,1
ivybluebitch,1,1
jellybean10133,1,1
jgwentworth-877,1,1
jillypleaselisten,1,1
jingle_WELLS,1,1
kcephei,1,1
kitty_kuddles,1,1
klutzyblonde,1,1
leotheabys,1,1
lessnessmanwkrp,1,1
llizardqueen,1,1
loversandlosers,1,1
m00py,1,1
matanemar,1,1
messy_mortal,1,1
mmjmc,1,1
monigurrl321,1,1
mormonmoo,1,1
musicals4life,1,1
natalooski,1,1
nmsjtb0308,1,1
nomorehoney,1,1
offdrea,1,1
petrichorflor,1,1
quack-and-slash,1,1
qxeen,1,1
rose_writer,1,1
sakiliya,1,1
seafoamglass,1,1
simmeronhigh,1,1
smurfalurfalurfalurf,1,1
socialdeviant620,1,1
space_moron,1,1
stickyterpslurper,1,1
strangerbuttrue,1,1
sugarbageldonut,1,1
tapiocatsar,1,1
tbyrim,1,1
the_regal_retard,1,1
throwaspenaway,1,1
tiredbitchesclub,1,1
titsoutshitsout,1,1
torschlussspanik,1,1
turtleyeeter95,1,1
vanyel_ashke,1,1
vivalavicky,1,1
waterytart83,1,1
wildhorneybadger7,1,1
wolfpupower,1,1
zuziite1,1,1
zuzoa,1,1
